lab,build,validate,bench_mean_ns,bench_cv_pct,note
bad_speculation/branches_to_cmov_1,ok,ok,954,0.28,
bad_speculation/conditional_store_1,ok,ok,234,1.21,
bad_speculation/lookup_tables_1,ok,ok,4852,0.33,
bad_speculation/virtual_call_mispredict,ok,ok,404,0.82,
core_bound/compiler_intrinsics_1,ok,ok,19,1.05,
core_bound/compiler_intrinsics_2,ok,ok,0,1.61,
core_bound/compiler_intrinsics_3,ok,ok,5,1.36,
core_bound/compiler_intrinsics_4,ok,ok,817,0.78,
core_bound/dep_chains_1,ok,ok,94,1.61,
core_bound/dep_chains_2,ok,ok,16,0.50,
core_bound/function_inlining_1,ok,ok,708,0.26,
core_bound/vectorization_1,ok,ok,2716171,1.76,
core_bound/vectorization_2,ok,ok,30,0.65,
memory_bound/data_packing,ok,ok,41,1.90,
memory_bound/false_sharing_1,fail,skip,,,build_error
memory_bound/huge_pages_1,ok,ok,3,0.64,
memory_bound/loop_interchange_1,ok,ok,423768776,4.55,
memory_bound/loop_interchange_2,ok,ok,,,
memory_bound/loop_tiling_1,ok,ok,9,0.77,
memory_bound/mem_alignment_1,ok,ok,28,0.24,
memory_bound/mem_order_violation_1,ok,ok,55,0.95,
memory_bound/swmem_prefetch_1,ok,ok,45,2.17,
misc/io_opt1,ok,ok,55,1.26,
misc/lto,ok,ok,954,0.50,
misc/pgo,ok,ok,4408,0.59,
misc/warmup,ok,ok,46,2.57,
